timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:01:21.533, 0 %, 0 MiB
2024/12/17 16:01:22.533, 0 %, 0 MiB
2024/12/17 16:01:23.533, 0 %, 0 MiB
2024/12/17 16:01:24.534, 0 %, 0 MiB
2024/12/17 16:01:25.534, 0 %, 0 MiB
2024/12/17 16:01:26.534, 0 %, 0 MiB
2024/12/17 16:01:27.534, 0 %, 0 MiB
2024/12/17 16:01:28.534, 0 %, 0 MiB
2024/12/17 16:01:29.535, 0 %, 0 MiB
2024/12/17 16:01:30.535, 0 %, 0 MiB
2024/12/17 16:01:31.535, 0 %, 0 MiB
2024/12/17 16:01:32.535, 0 %, 0 MiB
2024/12/17 16:01:33.535, 0 %, 0 MiB
2024/12/17 16:01:34.535, 0 %, 0 MiB
2024/12/17 16:01:35.536, 0 %, 0 MiB
2024/12/17 16:01:36.536, 0 %, 0 MiB
2024/12/17 16:01:37.536, 0 %, 0 MiB
2024/12/17 16:01:38.536, 0 %, 0 MiB
2024/12/17 16:01:39.537, 0 %, 0 MiB
2024/12/17 16:01:40.537, 0 %, 0 MiB
2024/12/17 16:01:41.537, 0 %, 0 MiB
2024/12/17 16:01:42.538, 0 %, 0 MiB
2024/12/17 16:01:43.538, 0 %, 0 MiB
2024/12/17 16:01:44.538, 0 %, 0 MiB
2024/12/17 16:01:45.538, 0 %, 0 MiB
2024/12/17 16:01:46.539, 0 %, 0 MiB
2024/12/17 16:01:47.539, 0 %, 0 MiB
2024/12/17 16:01:48.539, 0 %, 0 MiB
2024/12/17 16:01:49.540, 0 %, 0 MiB
2024/12/17 16:01:50.540, 0 %, 0 MiB
2024/12/17 16:01:51.540, 0 %, 0 MiB
2024/12/17 16:01:52.541, 0 %, 0 MiB
2024/12/17 16:01:53.541, 0 %, 0 MiB
2024/12/17 16:01:54.541, 0 %, 0 MiB
2024/12/17 16:01:55.541, 0 %, 0 MiB
2024/12/17 16:01:56.542, 0 %, 0 MiB
2024/12/17 16:01:57.542, 0 %, 0 MiB
2024/12/17 16:01:58.542, 0 %, 0 MiB
2024/12/17 16:01:59.542, 11 %, 377 MiB
2024/12/17 16:02:00.543, 0 %, 377 MiB
2024/12/17 16:02:01.543, 100 %, 5771 MiB
2024/12/17 16:02:02.543, 0 %, 5771 MiB
2024/12/17 16:02:03.544, 100 %, 5771 MiB
2024/12/17 16:02:04.544, 0 %, 5771 MiB
2024/12/17 16:02:05.544, 100 %, 5771 MiB
